delta,theta,alpha,beta,gamma,f1,f2,f3,f4,beta_alpha,gamma_power,theta_alpha,stress_index,engagement_index,is_focus,is_memory,is_relaxed,is_stressed,is_engaged,score,eye_label,score_label
10774774.602254998,18225485.684955,19295597.743075,18722317.345216665,7491520.733086666,4316.5935714285715,186.39529284396565,4641.03,4009.23,0.970289575607211,7491520.733086666,0.9445411294135735,1.3585398300350588,0.49898125626163886,0,0,1,1,0,2,0,0
10745200.539885,18180793.197995003,19269295.724075,18695642.655633334,7480849.012253334,4312.748571428571,186.79739424831172,4638.97,4004.62,0.9702296816314924,7480849.012253334,0.9435110373691049,1.3584560662059113,0.49921490692683407,0,0,1,1,0,2,0,0
10740959.679885002,18168180.252090003,19234503.39455,18709822.600533333,7486522.014213334,4312.160714285716,184.6089855599933,4630.26,4006.67,0.9727218954783983,7486522.014213334,0.944561961357262,1.3619454621411182,0.5002267424790412,0,0,1,1,0,2,0,0
10771095.99531,18212446.409765,19254925.413425,18743736.181816667,7500089.805726667,4316.227142857143,183.61273253502782,4632.31,4011.79,0.9734515080877494,7500089.805726667,0.9458590993588529,1.3629668993287372,0.500268240597942,0,0,1,1,0,2,0,0
10784365.670535,18227156.088775,19240009.306975,18738695.748466667,7498073.2733866675,4316.19,184.2043178879675,4632.82,4011.79,0.973944214344659,7498073.2733866675,0.9473569268059678,1.363656773925804,0.5001364675052719,0,0,1,1,0,2,0,0
10766011.967774998,18193434.207765,19193757.920325,18679859.557983335,7474534.696193334,4310.732142857142,183.9719783079778,4628.21,4004.62,0.9732257557651881,7474534.696193334,0.9478828629227597,1.3626510432581536,0.4996325879190097,0,0,1,1,0,2,0,0
10742628.9963,18163245.436305,19198700.539525,18630403.322866667,7454748.765146667,4307.143571428571,183.9930722145787,4625.13,4001.03,0.9703991832421508,7454748.765146667,0.9460663964683851,1.3586936279520385,0.4986464927420658,0,0,1,1,0,2,0,0
10730548.976100001,18142103.413065,19173523.891325,18637745.470266666,7457686.188106667,4306.007857142858,183.94685568619198,4622.05,4006.67,0.9720563406030064,7457686.188106667,0.9462060034395865,1.3610138546403965,0.4994622043530146,0,0,1,1,0,2,0,0
10734518.527065,18138935.95885,19131222.94715,18672656.357666668,7471652.953066668,4306.556428571429,184.05957248390865,4627.18,4010.77,0.9760304612647557,7471652.953066668,0.94813258979616,1.3665780479876075,0.5010082303314278,0,0,1,1,0,2,0,0
10748656.230495,18160741.01836,19145996.8885,18701006.698716667,7482994.986486667,4309.2300000000005,184.2458080546591,4637.44,4011.28,0.9767580558810395,7482994.986486667,0.9485398500856991,1.367596675048523,0.5012769206840089,0,0,1,1,0,2,0,0
10745339.410695,18161077.655695,19169792.207174998,18662690.346316665,7467665.829526667,4307.947857142857,183.8284564936471,4631.79,4010.77,0.9735468253709342,7467665.829526667,0.9473799955378026,1.363100647802626,0.49992647947586244,0,0,1,1,0,2,0,0
10709108.59677,18108533.459785003,19148609.987125,18558509.030733336,7425986.124293335,4300.0364285714295,184.22917136029804,4615.38,4002.56,0.969183091786328,7425986.124293335,0.9456839672414727,1.3569911953137368,0.49811948297050734,0,0,1,1,0,2,0,0
10678829.669039998,18065668.87462,19136146.5795,18495693.0882,7400855.33728,4294.762857142857,185.378118119564,4610.26,3993.33,0.9665317419763566,7400855.33728,0.9440599129801966,1.353279162964861,0.4971717875169222,0,0,1,1,0,2,0,0
10689963.80166,18091318.60282,19190167.6697,18527809.962316666,7413704.343926667,4298.790714285714,185.07398595713337,4616.92,3998.46,0.9654845273483401,7413704.343926667,0.9427389543544245,1.35181280084394,0.4969707974323149,0,0,1,1,0,2,0,0
10704815.81622,18120968.091885,19239401.684625,18581476.809783336,7435174.876913334,4303.918571428571,185.14384353242534,4628.72,4006.15,0.9658032570020926,7435174.876913334,0.9418675481143093,1.3522588754662939,0.4973579469619109,0,0,1,1,0,2,0,0
10700814.801465,18111680.889595002,19219639.104875,18567819.973666668,7429711.169466667,4302.344285714285,185.53256647955308,4627.69,4003.59,0.9660857767592543,7429711.169466667,0.9423528085394742,1.3526544906110018,0.49737914374355574,0,0,1,1,0,2,0,0
10687964.65275,18090038.528665002,19197094.958325002,18496728.85725,7401269.747900001,4297.361428571428,185.0554343532593,4620.51,3997.95,0.9635170788811334,7401269.747900001,0.9423320855543899,1.3490582122644417,0.4960619690355996,0,0,1,1,0,2,0,0
10686874.42182,18085655.004715,19182445.544775,18493194.246949997,7399855.647779999,4296.63,185.23462785651842,4616.41,3996.41,0.964068643061327,7399855.647779999,0.942823216283823,1.349830491335945,0.49622046668011827,0,0,1,1,0,2,0,0
10690720.02525,18082526.318375003,19141164.756875,18565845.568316665,7428921.202326666,4299.048571428572,186.26758773553794,4614.87,4000.0,0.9699433552833996,7428921.202326666,0.944693102434077,1.3580556408567217,0.4987642286946815,0,0,1,1,0,2,0,0
10690032.72174,18079994.090555,19133085.641174998,18591775.291966666,7439294.886786666,4300.037857142857,186.18752222187834,4621.54,4003.59,0.9717081520795378,7439294.886786666,0.9449596593894581,1.3605265071689376,0.4996032423544283,0,0,1,1,0,2,0,0
10715410.953930002,18125857.254315004,19193213.245375,18606624.121900003,7445235.444760002,4304.213571428571,185.37764168649056,4624.62,4005.64,0.9694376800811446,7445235.444760002,0.9443888848930421,1.3573474766105869,0.4985821959862067,0,0,1,1,0,2,0,0
10756703.562765,18185400.299415,19215644.411974996,18678641.864833336,7474047.515933335,4310.842857142858,184.90537662848658,4632.31,4012.82,0.9720538881949764,7474047.515933335,0.946385138563508,1.361010269552408,0.4994149764791063,0,0,1,1,0,2,0,0
10761494.053965,18186576.689825002,19189589.756024998,18719525.5855,7490403.8741999995,4312.307142857143,184.17881634932058,4638.97,4024.1,0.9755042094957561,7490403.8741999995,0.947731396087505,1.3658410519938,0.5008412409715708,0,0,1,1,0,2,0,0
10737443.035979997,18159441.438995,19214253.621774998,18668918.7773,7470157.66492,4309.267857142857,184.4738114661176,4634.36,4020.0,0.9716182134778343,7470157.66492,0.945102619984908,1.3604003026480265,0.4995202841716254,0,0,1,1,0,2,0,0
10743633.799214998,18178222.16048,19266885.4743,18618483.428716667,7449979.986486668,4308.79142857143,185.76055028131327,4630.26,4007.69,0.9663462967873454,7449979.986486668,0.9434956254204602,1.3530190673513147,0.49722072133724704,0,0,1,1,0,2,0,0
10751038.568325,18192966.4604,19291241.8465,18614746.941716667,7448485.135686668,4309.780000000001,186.7367157638951,4638.97,4007.69,0.964932537253581,7448485.135686668,0.9430687047085979,1.3510396212326075,0.49660237690786746,0,0,1,1,0,2,0,0
10702814.954205,18117736.923490003,19236584.922749996,18563049.459533334,7427802.603813334,4302.710714285715,187.1331213130026,4634.36,4007.18,0.9649867444807694,7427802.603813334,0.9418374933100658,1.3511157083088818,0.4969451603469908,0,0,1,1,0,2,0,0
10654693.421264997,18036226.19727,19149841.51125,18484442.26505,7396354.29102,4293.297142857143,185.87709347187203,4617.44,4000.0,0.9652530154983237,7396354.29102,0.9418472830009207,1.3514888121065858,0.49707977756449867,0,0,1,1,0,2,0,0
10665129.699255,18047573.194090005,19137001.30875,18500290.960383333,7402694.897153334,4294.321428571428,183.9767478653269,4610.77,4002.05,0.9667288339434607,7402694.897153334,0.9430721617726588,1.3535551071782448,0.49752595552679674,0,0,1,1,0,2,0,0
10696275.38967,18096026.111750003,19171627.96095,18577241.60855,7433480.54042,4301.062142857142,183.33542616817212,4616.41,4011.28,0.9689965633794038,7433480.54042,0.9438961651356998,1.356729965861478,0.49848164771278297,0,0,1,1,0,2,0,0
10690989.699374998,18084283.319009997,19148151.93255,18569885.875216667,7430537.735086666,4299.597142857143,183.9428039763825,4614.87,4008.72,0.969800424637779,7430537.735086666,0.9444401414147717,1.3578555101238665,0.4987556078389504,0,0,1,1,0,2,0,0
10673468.132235,18053683.227425,19111961.922225002,18536364.710066665,7417126.858026667,4295.714285714285,184.8228923171851,4611.28,4000.51,0.9698828820138056,7417126.858026667,0.9446274171585551,1.3579710797723525,0.49874997825083434,0,0,1,1,0,2,0,0
