delta,theta,alpha,beta,gamma,f1,f2,f3,f4
3.292231105242239e+24,4.444597003918557e+24,4.439309089535343e+24,1.991669824759179e+25,1.662357325067369e+25,359699596957.39496,12818449809549.084,468000000000000.0,-8980.0
4662484441358343.0,6359113192664022.0,6369925206300994.0,2.8811040212844516e+16,2.3903234800188576e+16,13281704.10500043,475389118.38351303,17800000000.0,-89200000.0
1.1463988386942268e+24,1.5366102124999932e+24,1.5368394603361505e+24,6.901812190815923e+24,5.686284724802222e+24,208356912226.68765,7488350443508.011,313000000000000.0,-473000000000.0
8.479419320840082e+25,1.1505370140133508e+26,1.1519046906940727e+26,5.199315458652887e+26,4.32512051344969e+26,1826011400186.6758,65338751933234.12,2440000000000000.0,-3920000000000.0
1.67010269962199e+20,2.2198261587170073e+20,2.077182170837634e+20,6.42998510234379e+20,2.160336916515918e+20,2499893114.620105,67805281090.09208,2280000000000.0,-12000000000.0
2.370299053640793e+16,3.2759475787593144e+16,3.280741005919996e+16,1.4825166139543728e+17,1.231626867879566e+17,28436036.908025775,1074587717.0157814,48800000000.0,-194000000.0
1.6173659343458074e+17,2.1559248429053232e+17,2.1130289740216768e+17,8.582329478457417e+17,5.6994808204087226e+17,79071894.34125115,2475781867.6517353,98200000000.0,-89100000.0
3.959288671130885e+26,5.3373568899946234e+26,5.33181663232778e+26,2.3930344796894043e+27,1.9972116232520716e+27,3937895614540.9507,140524540449817.25,5270000000000000.0,-66000000.0
8288593149485820.0,1.1082257960669e+16,1.0571168164908592e+16,3.860542206087579e+16,2.7872588227141576e+16,17710790.005354896,552339916.2421466,21300000000.0,-115000000.0
9.766020973190124e+22,1.3177753184115948e+23,1.3177783421499091e+23,5.9297174320175565e+23,4.938053105939503e+23,61868012060.606445,2209451560386.4873,82300000000000.0,-22600000000.0
3381513492105143.0,4570495032082793.0,4541042089121198.0,1.993687020320432e+16,1.6250737259087596e+16,11316542.501024373,398185165.1394708,14800000000.0,-101000000.0
1.7794367998473073e+23,2.411441280269322e+23,2.409844888206548e+23,1.0825934772695373e+24,9.026753143405952e+23,83679157104.41728,2985844430304.5034,111000000000000.0,-43500.0
3.948781119665413e+16,5.244385288268037e+16,5.258074248820625e+16,2.3825414184139875e+17,1.974267397063838e+17,31162995.28146036,1377949027.7944825,68700000000.0,-263000000.0
1.2710679808794226e+27,1.6751833552813762e+27,1.6742976303435e+27,7.523891973896459e+27,6.273165454374465e+27,5549623141388.611,249717939305715.72,1.25e+16,-108000000.0
3379527981603872.0,4544197202767778.0,4565207936774828.0,2.0781574265680548e+16,1.7100693915062596e+16,10871383.033527935,404220774.0542914,17800000000.0,-141000000.0
2.0108997227241687e+26,2.7390562192432583e+26,2.7369711222215486e+26,1.2292813591554107e+27,1.0255289284160178e+27,2793319664450.6797,100579876893061.61,4060000000000000.0,-104000000.0
1505191885606110.0,2010479996701067.5,1883414530977636.5,6413027196457510.0,4389570738419513.5,7275851.905909281,232679493.6641531,10100000000.0,-17200000.0
2371259528297654.0,3225012550038125.0,3221251636134971.5,1.4460614344890148e+16,1.2027320174074678e+16,9482218.641692432,337606945.3203072,12300000000.0,-26700000.0
2.444492991855364e+19,3.2855310167989584e+19,3.2343305598602252e+19,1.3520680774759878e+20,9.752543034527995e+19,981013268.7913264,28573203345.278526,1030000000000.0,-39700.0
2.7122572820733194e+24,3.6710260169866583e+24,3.66577473380264e+24,1.6435946909258995e+25,1.372249263625562e+25,326797987617.9003,11643070298489.285,427000000000000.0,-50300000.0
1.7359616230458854e+25,2.3600196971646515e+25,2.357697501703938e+25,1.0583424255999755e+26,8.831869239517076e+25,823704624406.3271,29522910814466.81,1160000000000000.0,-80700000.0
2817502058021524.5,3788906976185404.0,3775280075848747.0,1.6728916343403764e+16,1.3491942032359128e+16,10170601.274593502,360503351.0672642,15000000000.0,-41000000.0
7.055769094744369e+25,9.503713777521564e+25,9.48905970467754e+25,4.2497583026165557e+26,3.535329533800218e+26,1661049546980.283,59067527675702.66,2230000000000000.0,-32700000000.0
9.124134057099661e+23,1.224436370779713e+24,1.224028971979052e+24,5.503620290063877e+24,4.587823709520392e+24,186906509471.10666,6738395281780.489,273000000000000.0,-162000000.0
1.1216520199809034e+20,1.446938195483164e+20,1.3857060616833019e+20,4.8833006844656275e+20,2.118064375717947e+20,1480972772.1580963,45982632152.45646,1930000000000.0,-6890000000.0
3447224080913908.0,4778995047697222.0,4776075390069993.0,2.1440628631323324e+16,1.771753897441862e+16,10360231.654903982,407668759.4292396,19400000000.0,-39500000.0
8.251491321516693e+24,1.1041975760794265e+25,1.1057800319264654e+25,4.994240369373387e+25,4.152859796907233e+25,553132731971.4193,20277774645072.793,866000000000000.0,-1670000000000.0
1.4341722797253627e+17,1.911031065748028e+17,1.751554126850771e+17,4.6942781574525376e+17,8.72021409149333e+16,63862557.01933643,1808266108.390716,66700000000.0,-654000000.0
9.275057245983702e+25,1.253718709757108e+26,1.2550197717787522e+26,5.662604342538693e+26,4.711558932437874e+26,1908685959136.5212,68224553956839.39,2490000000000000.0,-3660000000000.0
4.832082779279338e+24,6.492324231518209e+24,6.496302695722824e+24,2.92798850056022e+25,2.4376596592457514e+25,430991622020.17346,15529297389175.867,623000000000000.0,-654000000000.0
1612481829169691.5,2169562677997693.0,2152448953550033.2,9421798848255508.0,7707994012561188.0,7766008.593270182,274561704.8477653,10900000000.0,-43500000.0
7157816307616015.0,9665719762363948.0,9616522682511842.0,4.271222559866985e+16,3.5716546474507256e+16,16427145.094639642,582858405.0715572,22300000000.0,-897000.0
5383731459833576.0,7318543819951416.0,7259838768315474.0,3.1877650928705316e+16,2.644032284097242e+16,14260412.844726736,503423844.5383552,19500000000.0,-1640.0
3026567898197900.0,4119924357600547.0,4051982672563909.0,1.715635004593989e+16,1.3903609822281774e+16,10543138.02844865,369299580.50162274,15600000000.0,-7080000.0
3130622046906999.0,4282484118361797.0,4246253289840822.0,1.861289313407384e+16,1.5423385314286954e+16,10671635.62537756,384069055.9602827,16300000000.0,-105000.0
4907668646172319.0,6611068869767198.0,6615907202523795.0,2.9849825074573196e+16,2.4810105041109268e+16,13380523.076238262,486197003.7509689,20300000000.0,-64500000.0
7.609303023847882e+25,1.0555718681965747e+26,1.0548213003031399e+26,4.738194062900465e+26,3.952553168767006e+26,1408755874426.6035,62325148214895.4,3110000000000000.0,-107000.0
1.8040474882179943e+25,2.4328223075545085e+25,2.4306605589895127e+25,1.0913597074555809e+26,9.106170559477041e+25,840865379431.7383,30004590151053.53,1120000000000000.0,-99100000.0
1.412046572921168e+18,1.9513420324321434e+18,1.9360597386113935e+18,8.401604863185903e+18,6.555556695469233e+18,195915388.10093483,8121277227.996109,406000000000.0,-264000000.0
1.4661331855160952e+16,1.9965784138351372e+16,1.9910743251432148e+16,8.899323836220514e+16,7.425096940713918e+16,23546989.239693,838106754.705088,31900000000.0,-744000.0
4.550045907549992e+23,6.185677147644427e+23,6.176104207205495e+23,2.768382576006876e+24,2.3121982392631545e+24,131352236552.83609,4678609611537.633,170000000000000.0,-9300000.0
5.102411860573593e+16,6.645355387842203e+16,6.376284069838414e+16,2.3152913083290285e+17,1.0838467676527726e+17,40549721.84805053,1162810428.2827377,46600000000.0,-110000000.0
5872722073909029.0,7826563333252705.0,7734755281999106.0,3.3374665016660116e+16,2.7266693022572012e+16,14350741.970276017,519607223.4674345,23000000000.0,-39200000.0
4898828368265178.0,6545199100355783.0,6528354591721948.0,2.9196579550642784e+16,2.434620438205554e+16,12869331.000292582,482796816.96356803,21900000000.0,-302000.0
1.1045917192815442e+24,1.5041074257952988e+24,1.502561128872269e+24,6.744127637631106e+24,5.627977570656063e+24,207111812409.16022,7451451665583.255,300000000000000.0,-92400.0
